country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/1/21;-75;-82;-37;-70;-83;26
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/1/21;-36;-7;-22;-34;-21;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/1/21;-29;20;-24;-34;-11;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/1/21;-9;16;-7;-30;-40;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/1/21;-9;29;-3;-29;-42;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/1/21;-56;-70;-22;-57;-76;21
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/1/21;-35;1;-32;-39;-37;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/1/21;-45;-7;-39;-41;-36;17
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/1/21;-58;-22;-44;-50;-32;17
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/1/21;-58;-21;-46;-50;-28;13
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/1/21;-36;-1;-25;-35;-31;13
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/1/21;-40;-5;-26;-35;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/1/21;-42;-5;-26;-35;-28;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/1/21;-43;-7;-30;-36;-30;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/1/21;-46;-7;-31;-37;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/1/21;-52;-12;-28;-39;-25;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/1/21;-55;-18;-31;-45;-27;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/1/21;-40;-10;-21;-34;-28;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/1/21;-43;-10;-24;-35;-29;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/1/21;-47;-15;-37;-38;-29;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/1/21;-47;-9;-31;-36;-27;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/1/21;-52;-11;-40;-40;-29;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/1/21;-58;-14;-43;-46;-28;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/1/21;-59;-18;-34;-47;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/1/21;-45;-11;-30;-36;-27;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/1/21;-46;-9;-23;-34;-27;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/1/21;-47;-9;-17;-35;-26;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/1/21;-46;-7;-14;-34;-26;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/1/21;-49;-5;-17;-35;-27;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/1/21;-58;-11;-35;-46;-28;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;31/1/21;-60;-15;-35;-48;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/2/21;-43;-7;-16;-34;-25;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/2/21;-45;-8;-15;-35;-26;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/2/21;-46;-5;-16;-35;-25;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/2/21;-46;-4;-21;-35;-25;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/2/21;-50;-3;-27;-36;-25;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/2/21;-58;-9;-36;-45;-28;13
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/2/21;-58;-15;-32;-46;-30;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/2/21;-44;-8;-26;-35;-25;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/2/21;-46;-8;-31;-35;-25;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/2/21;-44;-3;-19;-34;-23;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/2/21;-43;-3;-15;-32;-23;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/2/21;-46;0;-18;-33;-23;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/2/21;-48;-3;-9;-35;-23;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/2/21;-46;-5;-13;-38;-23;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/2/21;-38;-6;-5;-32;-29;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/2/21;-42;-8;-5;-31;-28;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/2/21;-41;-2;-5;-29;-23;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/2/21;-40;-1;-9;-29;-22;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/2/21;-42;1;-6;-30;-23;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/2/21;-48;-6;-7;-33;-22;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/2/21;-55;-14;-38;-45;-26;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/2/21;-38;-5;-13;-32;-23;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/2/21;-38;-2;-2;-27;-21;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/2/21;-38;-1;-3;-28;-20;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/2/21;-37;2;-10;-27;-21;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/2/21;-38;5;-7;-27;-21;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/2/21;-42;0;1;-29;-18;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/2/21;-43;0;-8;-33;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/3/21;-35;-9;-8;-30;-29;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/3/21;-34;2;-8;-26;-20;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/3/21;-33;4;-3;-25;-19;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/3/21;-33;4;-5;-25;-19;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/3/21;-35;4;-9;-25;-19;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/3/21;-39;-1;-8;-28;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/3/21;-45;-7;-27;-37;-18;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/3/21;-31;-3;-15;-28;-21;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/3/21;-32;1;-6;-25;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/3/21;-31;2;2;-24;-18;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/3/21;-31;3;-1;-24;-18;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/3/21;-33;5;-2;-24;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/3/21;-36;-2;8;-25;-15;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/3/21;-36;1;1;-30;-15;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/3/21;-28;0;6;-24;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/3/21;-29;1;4;-23;-18;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/3/21;-29;4;4;-24;-17;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/3/21;-27;13;-8;-24;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/3/21;-38;-20;-15;-40;-42;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/3/21;-36;1;-8;-29;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/3/21;-36;1;1;-29;-14;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/3/21;-28;2;5;-24;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/3/21;-29;2;10;-22;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/3/21;-28;4;10;-23;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/3/21;-26;8;10;-20;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/3/21;-30;6;4;-23;-20;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/3/21;-33;1;11;-23;-13;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/3/21;-31;5;18;-24;-11;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/3/21;-21;5;29;-26;-31;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/3/21;-21;10;29;-24;-31;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;31/3/21;-14;27;37;-22;-32;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/4/21;-24;1;51;-37;-62;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/4/21;-47;-53;42;-50;-75;19
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/4/21;-33;9;21;-28;-21;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/4/21;-30;13;20;-24;-12;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/4/21;-28;-13;45;-32;-47;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/4/21;-25;13;9;-22;-22;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/4/21;-27;10;5;-24;-21;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/4/21;-26;8;7;-22;-20;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/4/21;-32;3;-10;-26;-20;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/4/21;-36;1;-17;-30;-14;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/4/21;-37;2;-18;-34;-14;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/4/21;-26;0;11;-23;-20;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/4/21;-29;4;-1;-22;-16;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/4/21;-29;5;0;-22;-16;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/4/21;-30;3;-7;-23;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/4/21;-31;6;-2;-23;-15;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/4/21;-33;1;4;-25;-12;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/4/21;-33;6;8;-26;-11;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/4/21;-26;2;8;-21;-15;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/4/21;-28;4;1;-21;-15;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/4/21;-29;4;-4;-24;-17;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/4/21;-28;6;-3;-22;-15;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/4/21;-28;3;13;-18;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/4/21;-33;2;-1;-24;-13;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/4/21;-39;0;-23;-35;-14;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/4/21;-26;2;-7;-23;-16;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/4/21;-28;4;-6;-22;-15;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/4/21;-26;6;-1;-22;-15;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/4/21;-24;10;-3;-21;-15;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/4/21;-22;25;1;-19;-16;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/5/21;-44;-52;9;-29;-34;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/5/21;-13;54;4;-19;-3;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/5/21;-19;10;16;-26;-28;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/5/21;-21;12;17;-17;-17;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/5/21;-22;11;13;-18;-14;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/5/21;-21;10;14;-17;-14;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/5/21;-23;10;18;-16;-13;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/5/21;-27;1;27;-16;-10;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/5/21;-32;6;-15;-28;-12;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/5/21;-21;6;1;-19;-16;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/5/21;-20;7;9;-17;-15;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/5/21;-20;9;8;-16;-15;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/5/21;-20;8;7;-16;-16;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/5/21;-20;10;19;-14;-15;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/5/21;-24;-2;23;-15;-14;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/5/21;-27;8;8;-21;-10;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/5/21;-19;3;24;-15;-18;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/5/21;-19;8;14;-15;-14;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/5/21;-19;9;18;-17;-13;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/5/21;-16;11;23;-18;-13;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/5/21;-19;11;20;-16;-14;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/5/21;-25;0;21;-19;-9;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/5/21;-31;6;-7;-26;-11;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/5/21;-16;5;25;-20;-21;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/5/21;-17;11;20;-15;-14;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/5/21;-17;12;21;-16;-13;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/5/21;-15;12;17;-15;-13;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/5/21;-15;13;27;-12;-12;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/5/21;-20;2;34;-13;-8;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/5/21;-22;15;20;-18;-6;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;31/5/21;-12;10;26;-14;-15;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/6/21;-14;14;14;-14;-14;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/6/21;-11;17;27;-12;-13;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/6/21;-12;12;23;-14;-17;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/6/21;-13;15;26;-12;-13;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/6/21;-20;3;20;-15;-9;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/6/21;-20;17;23;-14;-5;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/6/21;-9;13;35;-12;-14;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/6/21;-11;14;32;-11;-14;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/6/21;-11;13;34;-12;-16;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/6/21;-9;16;35;-11;-14;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/6/21;-14;11;32;-11;-15;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/6/21;-21;1;40;-12;-9;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/6/21;-23;16;23;-14;-7;-3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/6/21;-10;12;33;-12;-17;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/6/21;-11;13;34;-11;-16;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/6/21;-11;14;26;-12;-17;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/6/21;-13;12;12;-15;-18;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/6/21;-15;9;22;-14;-18;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/6/21;-23;0;21;-15;-11;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/6/21;-23;17;7;-18;-9;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/6/21;-7;11;36;-13;-21;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/6/21;-8;13;34;-12;-21;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/6/21;-8;18;46;-12;-23;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/6/21;-14;-8;61;-20;-41;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/6/21;-12;14;50;-15;-29;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/6/21;-21;0;46;-12;-11;-3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/6/21;-19;23;26;-12;-7;-5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/6/21;-5;12;43;-12;-25;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/6/21;-7;10;45;-12;-27;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/6/21;-5;16;47;-11;-24;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/7/21;-4;18;50;-9;-27;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/7/21;-15;9;34;-14;-26;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/7/21;-19;4;46;-9;-10;-3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/7/21;-15;39;31;-10;-4;-5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/7/21;-2;17;65;-9;-28;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/7/21;-7;17;45;-12;-28;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/7/21;-4;17;57;-11;-28;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/7/21;-4;16;61;-10;-28;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/7/21;-13;12;55;-12;-27;0
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;1/1/21;-71;-80;-33;-67;-78;21
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;2/1/21;-27;-6;-16;-23;-16;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;3/1/21;-16;;-19;-21;-4;4
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;4/1/21;-3;15;-7;-21;-36;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;5/1/21;-2;24;-4;-22;-37;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;6/1/21;-52;-71;-44;-56;-71;17
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;7/1/21;-31;-2;-53;-35;-34;12
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;8/1/21;-44;-15;-60;-43;-30;16
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;9/1/21;-34;-2;-38;-26;-15;10
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;10/1/21;-49;;-50;-42;-18;9
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;11/1/21;-25;1;-27;-24;-18;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;12/1/21;-29;-2;-23;-25;-19;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;13/1/21;-31;-4;-24;-28;-19;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;14/1/21;-33;-7;-28;-31;-22;6
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;15/1/21;-38;-9;-27;-31;-22;8
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;16/1/21;-41;-12;-23;-31;-21;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;17/1/21;-52;;-30;-45;-23;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;18/1/21;-39;-13;-27;-34;-24;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;19/1/21;-40;-11;-27;-33;-24;7
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;20/1/21;-50;-23;-54;-44;-27;12
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;21/1/21;-45;-12;-42;-40;-25;11
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;22/1/21;-49;-13;-40;-41;-24;13
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;23/1/21;-54;-16;-45;-46;-25;13
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;24/1/21;-61;;-48;-54;-28;12
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;25/1/21;-44;-14;-41;-39;-25;10
ES;Spain;Andalusia;;;ES-AN;;ChIJRcWdz7HZEQ0RD_Pxd01lycE;26/1/21;-43;-12;-32;-37;-25;9
